user_id,vertical,sessions_per_week,probability_of_conversion,dropoff_step,likelihood_of_repeat_usage,avg_order_value,payment_failures,cross_vertical_usage,time_of_day,location_cluster
U0001,payments,4,0.07,details,0.24,15.47,0,3,morning,university_zone
U0002,food,2,0.07,search,0.23,50.15,4,1,night,suburb
U0003,food,19,0.27,home,0.76,16.97,3,2,evening,suburb
U0004,rides,25,0.32,home,0.38,31.92,2,3,evening,downtown
U0005,payments,15,0.48,checkout_step1,0.08,26.99,5,3,evening,university_zone
U0006,rides,23,0.11,payment,0.23,26.7,0,1,morning,residential
U0007,food,15,0.56,details,0.16,31.65,5,2,morning,university_zone
U0008,payments,6,0.48,search,0.16,33.46,5,3,afternoon,business_district
U0009,rides,8,0.71,details,0.4,9.96,4,3,evening,suburb
U0010,payments,16,0.37,payment,0.46,24.87,1,3,evening,university_zone
U0011,food,19,0.37,search,1,15.37,3,1,morning,downtown
U0012,rides,21,0.18,payment,0.42,9.76,3,3,night,university_zone
U0013,food,18,0.74,home,0.68,13.59,4,2,evening,downtown
U0014,food,14,0.18,home,0.95,70.69,2,3,afternoon,university_zone
U0015,rides,21,0.29,payment,0.51,19.92,2,1,morning,university_zone
U0016,food,16,0.07,details,0.88,67.37,2,1,morning,suburb
U0017,payments,3,0.12,checkout_step1,0.82,78.35,4,1,afternoon,residential
U0018,payments,6,0.26,checkout_step2,0.42,20.88,4,3,afternoon,business_district
U0019,food,22,0.57,checkout_step1,0.9,38.86,1,1,morning,business_district
U0020,rides,19,0.49,checkout_step2,0.22,10.32,5,1,afternoon,downtown
U0021,rides,11,0.11,search,0.28,41.41,4,1,night,suburb
U0022,food,14,0.2,home,0.66,31.57,3,2,morning,downtown
U0023,rides,13,0.63,home,0.25,19.27,3,1,night,suburb
U0024,food,15,0.25,home,0.44,69.6,4,1,morning,university_zone
U0025,rides,3,0.79,search,0.17,41.42,1,2,morning,suburb
U0026,food,1,0.84,details,0.93,63.88,2,2,night,suburb
U0027,rides,10,0.22,home,0.58,45.66,5,2,morning,downtown
U0028,payments,16,0.45,checkout_step2,0.16,77.06,0,1,morning,university_zone
U0029,rides,22,0.74,checkout_step1,0.12,71.77,1,3,morning,university_zone
U0030,rides,14,0.58,checkout_step2,0.52,75.1,1,3,evening,suburb
